,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
0,HP,HP Laptop,Intel Core i5,512.0,16.0,Windows 11 Home,66.99,PCI Express,3.3,3745.0
1,HP,HP Laptop,Ryzen 3,512.0,8.0,Windows,30.99,Integrated,4.1,3745.0
2,Lenovo,IdeaPad,Intel Core i5,512.0,16.0,Windows 11 Home,49.99,Integrated,3.9,3745.0
3,ASUS,Vivobook Go 14,Ryzen 3,512.0,8.0,Windows 11 Home,29.99,Integrated,4.0,3745.0
4,Lenovo,Lenovo V15 G4,Ryzen 3,512.0,8.0,Windows 11 Home,25.99,Integrated,4.0,3745.0
5,HP,HP Laptop,AMD Ryzen 5 5500U,512.0,16.0,Windows 11 Home,36.923,Integrated,4.1,3745.0
6,HP,HP Laptop,Ryzen 3,512.0,8.0,Windows,30.99,Integrated,4.1,3745.0
7,Lenovo,IdeaPad Slim 3 15IRU8,Intel Core i3,512.0,8.0,Windows 11 Home,37.75,Integrated,5.0,3745.0
8,Lenovo,IdeaPad Slim 3,Core i3,512.0,8.0,Windows 11 Home,36.99,Integrated,4.1,3745.0
9,BKN,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,294.0,Integrated,4.2,3745.0
10,ASUS,Vivobook Go 15 (2023),Ryzen 5,512.0,16.0,Windows 11 Home,40.99,Integrated,3.9,3745.0
11,Lenovo,IdeaPad,Celeron N4020,512.0,8.0,Windows 11 Home,24.99,Integrated,2.9,3745.0
12,HP,HP Laptop,Core i3,512.0,8.0,Windows 11 Home,34.99,PCI Express,4.1,3745.0
13,Lenovo,V15 G4 AMN,Ryzen 5,512.0,16.0,Windows 11,34.99,Integrated,4.5,3745.0
14,HP,HP Laptop,Ryzen 3,512.0,8.0,Windows,30.99,Integrated,4.1,3745.0
15,Lenovo,IdeaPad Slim 3,Ryzen 5,512.0,16.0,Windows 11 Home,42.49,Integrated,4.5,3745.0
16,Lenovo,IdeaPad,Ryzen 5,512.0,16.0,Windows 11 Home,36.99,Integrated,4.0,3745.0
17,acer,Aspire Lite,Ryzen 3 5300U,512.0,16.0,Windows 11 Home,28.99,Integrated,4.0,3745.0
18,HP,Victus Gaming Laptop,AMD Ryzen 5 5600X,512.0,16.0,Windows 11 Home,62.99,PCI Express,4.1,3745.0
19,acer,Z8-284,Celeron,256.0,8.0,Windows 11 Home,17.99,Integrated,3.1,3745.0
20,HP,HP Laptop,Core i3,512.0,8.0,Windows 11 Home,38.39,Integrated,4.1,3745.0
21,Lenovo,LOQ,Intel Core i7,512.0,24.0,Windows 11,99.99,PCI Express,3.7,3745.0
22,ASUS,ASUS Vivobook 14,Core i3,512.0,8.0,Windows 11 Home,32.99,Integrated,3.8,3745.0
23,acer,Aspire 3,Celeron,512.0,8.0,Windows 11 Home,22.99,Integrated,3.4,3745.0
